name,artist,year,bpm,energy,dance,dB,liveness,valence,duration,acousticness,speechiness ,pop,genre,mood
Running Up That Hill (A Deal With God),Kate Bush,1985,108,55,63,-13,6,19,299,72,5,86,"art pop, art rock, baroque pop, new wave pop, permanent wave, piano rock, singer songwriter",Angry
Set Fire to the Rain,Adele,2011,108,67,60,-4,11,45,243,0,2,86,"british soul, pop, pop soul, uk pop",Angry
Seven Nation Army,The White Stripes,2003,124,45,74,-8,34,28,232,0,7,86,"alternative rock, blues rock, detroit rock, garage rock, modern blues rock, permanent wave, punk blues, rock",Sad
Shallow,Lady Gaga,2018,96,39,57,-6,23,32,216,37,3,86,"art pop, dance pop, pop",Sad
STAY (with Justin Bieber),The Kid LAROI,2021,170,76,59,-5,10,48,142,4,5,86,australian hip hop,Angry
telepatï¿½,Kali Uchis,2020,84,52,65,-9,20,55,160,11,5,86,colombian pop,Happy
That's What I Like,Bruno Mars,2016,134,56,85,-5,9,86,207,1,4,86,"dance pop, pop",Happy
Till I Collapse,Eminem,2002,171,85,55,-3,8,10,298,6,19,86,"detroit hip hop, hip hop, rap",Angry
Too Good At Goodbyes,Sam Smith,2017,92,37,68,-8,17,48,201,64,4,86,"pop, uk pop",Sad
Treat You Better,Shawn Mendes,2017,83,82,44,-4,11,75,188,11,34,86,"canadian pop, pop, viral pop",Happy
What Makes You Beautiful,One Direction,2012,125,79,73,-2,6,89,200,1,7,86,"boy band, pop, post teen pop, talent show",Happy
All The Stars (with SZA),Kendrick Lamar,2018,97,63,70,-5,9,55,232,6,6,85,"conscious hip hop, hip hop, rap, west coast rap",Happy
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,2021,93,52,63,-9,9,21,613,27,3,85,pop,Angry
dance,Imanbek,2022,122,80,85,-5,17,42,151,6,14,85,"electro house, pop dance, slap house",Angry
Feel Good Inc.,Gorillaz,2005,139,71,82,-7,61,77,223,1,18,85,"alternative hip hop, modern rock, rock",Happy
happier,Olivia Rodrigo,2021,169,44,40,-10,8,34,176,77,13,85,pop,Sad
Let Me Love You,DJ Snake,2016,100,72,65,-5,14,16,206,9,3,85,"dance pop, edm, electronic trap, pop, pop dance",Angry
Levitating (feat. DaBaby),Dua Lipa,2020,103,83,70,-4,7,92,203,1,6,85,"dance pop, pop, uk pop",Happy
Love Yourself,Justin Bieber,2015,100,38,61,-10,28,52,234,84,44,85,"canadian pop, pop",Calm
LOVE. FEAT. ZACARI.,Kendrick Lamar,2017,126,59,80,-7,15,78,213,26,9,85,"conscious hip hop, hip hop, rap, west coast rap",Happy
Maps,Maroon 5,2014,120,71,74,-6,6,88,190,2,3,85,pop,Happy
One Last Time,Ariana Grande,2014,125,59,63,-5,10,10,197,9,3,85,pop,Angry
Only Love Can Hurt Like This,Paloma Faith,2014,91,89,57,-5,33,30,233,10,8,85,"british soul, talent show, uk pop",Angry
Passionfruit,Drake,2017,112,46,81,-11,11,36,299,26,4,85,"canadian hip hop, canadian pop, hip hop, pop rap, rap",Sad
Payphone,Maroon 5,2012,110,75,74,-5,29,55,231,2,4,85,pop,Happy
Redbone,Childish Gambino,2016,160,35,75,-11,12,60,327,17,10,85,"atl hip hop, hip hop, rap",Calm
Riptide,Vance Joy,2014,102,73,48,-7,15,51,204,43,4,85,"folk pop, modern rock",Happy
Shake It Off,Taylor Swift,2014,160,80,65,-5,33,94,219,6,17,85,pop,Happy
dance,WALK THE MOON,2014,128,87,58,-4,26,62,199,1,6,85,"dance rock, modern alternative rock, modern rock, neo mellow, pop rock",Happy
